Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,Odd/Even
1933,-0.507,-0.608,-0.546,-0.306,-0.216,-0.233,-0.015,-0.039,-0.078,-0.057,-0.349,-0.847,-0.317,
1933,25,25,25,25,25,25,25,25,25,25,25,25,,
1934,-0.076,0.139,-0.436,-0.375,0.217,-0.011,0.007,0.002,-0.135,0.031,0.214,0.127,-0.025,
1934,25,25,25,25,25,25,25,25,25,25,25,25,,
1935,-0.443,0.719,-0.051,-0.572,-0.467,-0.194,-0.048,-0.041,-0.136,0.181,-0.546,-0.361,-0.163,
1935,26,26,26,26,26,26,26,26,26,26,26,26,,
1936,-0.377,-0.884,-0.435,-0.301,-0.151,-0.023,0.276,0.106,-0.013,0.07,0.09,0.242,-0.117,
1936,26,26,26,26,26,26,26,26,26,26,26,26,,
1937,-0.219,0.136,-0.71,-0.315,-0.033,0.106,0.004,0.228,0.263,0.329,0.138,-0.313,-0.032,
1937,26,27,27,27,27,27,26,27,26,26,27,26,,
1938,0.144,0.138,0.313,0.344,0.057,-0.061,0.082,0.126,0.264,0.455,0.344,-0.377,0.152,
1938,27,27,27,27,27,27,27,27,27,27,27,27,,
1939,0.075,0.058,-0.521,-0.224,0.043,0.102,0.007,0.103,-0.13,-0.247,-0.014,0.721,-0.002,
1939,27,27,27,27,27,27,27,27,27,27,27,27,,
1940,-0.785,-0.124,-0.211,-0.002,-0.153,0.163,0.153,0.019,0.173,0.009,-0.028,0.295,-0.041,
1940,27,27,27,28,27,27,27,27,27,28,27,27,,
1941,-0.171,0.121,-0.338,-0.024,-0.005,0.13,0.19,0.061,-0.189,0.212,-0.18,-0.155,-0.029,
1941,29,29,29,29,29,29,29,29,29,29,29,29,,
1942,0.072,-0.432,-0.288,-0.099,-0.097,0.099,-0.1,-0.019,0.104,0.096,0.099,0.016,-0.046,
1942,29,29,29,29,29,29,29,29,29,29,29,29,,
1943,-0.419,0.256,-0.263,0.141,0.061,-0.245,-0.001,-0.155,0.038,0.408,-0.005,0.303,0.01,
1943,29,29,29,29,29,29,29,29,29,29,29,29,,
1944,0.678,0.267,0.028,-0.154,-0.041,-0.013,0.089,0.16,0.406,0.328,-0.048,-0.412,0.107,
1944,29,29,29,29,29,29,29,29,29,29,29,29,,
1945,-0.306,-0.487,-0.23,0.224,-0.262,-0.107,-0.192,0.435,0.177,0.112,-0.116,-0.674,-0.119,
1945,29,29,29,29,29,29,29,29,29,29,29,29,,
1946,0.106,0.124,-0.33,0.209,-0.092,-0.23,0.001,-0.038,0.055,-0.164,0.01,-0.591,-0.078,
1946,30,30,30,30,30,30,30,30,30,30,30,30,,
1947,-0.286,-0.323,0.007,0.136,-0.016,0.044,-0.046,0.086,0.082,0.395,0.112,-0.248,-0.005,
1947,30,30,30,30,30,30,30,30,30,30,30,30,,
1948,0.416,-0.087,-0.407,-0.02,0.148,0.125,-0.09,-0.043,0.027,0.124,0.01,-0.198,0,
1948,31,31,31,31,31,31,31,31,31,31,31,31,,
1949,0.363,-0.327,-0.387,-0.115,-0.099,-0.221,-0.178,-0.06,-0.074,0.14,-0.015,-0.326,-0.108,
1949,31,31,31,31,31,32,31,31,31,32,32,32,,
1950,-0.574,-0.387,-0.246,-0.307,-0.162,-0.082,-0.229,-0.297,-0.134,-0.198,-0.671,-0.322,-0.301,
1950,32,32,32,33,32,32,32,33,33,32,33,32,,
1951,-0.572,-0.835,-0.449,-0.1,-0.019,-0.114,-0.072,0.114,0.208,0.164,-0.028,0.412,-0.107,
1951,36,36,36,36,36,36,36,36,36,36,36,36,,
1952,0.271,0.038,-0.422,-0.032,-0.046,-0.001,0.13,0.085,0.128,-0.14,-0.541,-0.221,-0.063,
1952,36,36,36,37,36,37,37,37,36,37,37,36,,
1953,0.136,0.175,0.203,0.202,0.063,0.19,-0.007,0.159,0.108,0.194,-0.119,0.247,0.129,
1953,37,36,37,37,37,37,37,37,37,37,37,37,,
1954,-0.496,-0.203,-0.347,-0.184,-0.285,-0.086,-0.186,-0.054,0.001,0.081,0.248,-0.223,-0.145,
1954,37,37,37,37,37,37,38,37,37,37,37,37,,
1955,0.384,-0.143,-0.791,-0.368,-0.197,-0.1,-0.2,0.039,-0.03,-0.019,-0.4,-0.474,-0.192,
1955,38,38,38,38,38,38,38,38,38,38,38,38,,
1956,-0.346,-0.695,-0.57,-0.517,-0.421,-0.274,-0.274,-0.4,-0.408,-0.322,-0.499,-0.387,-0.426,
1956,38,38,38,38,38,38,38,38,38,38,38,38,,
1957,-0.262,-0.253,-0.465,-0.164,-0.132,0.048,-0.175,0.03,0.059,-0.08,0.137,0.32,-0.078,
1957,39,39,39,39,39,39,39,39,39,39,39,39,,
1958,0.467,0.229,-0.073,0.014,0.026,-0.081,0.008,-0.055,-0.113,-0.002,0.07,0.007,0.041,
1958,39,39,39,39,38,38,39,39,38,39,39,39,,
1959,0.114,0.075,0.202,0.063,-0.128,0.114,0.043,0.013,0.054,-0.147,-0.166,-0.01,0.019,
1959,39,39,39,39,39,39,39,39,39,39,39,39,,
1960,0.029,0.366,-0.681,-0.317,-0.319,0.053,-0.094,-0.015,0.053,0.012,-0.216,0.318,-0.068,
1960,39,39,39,39,39,39,39,39,39,39,39,39,,
1961,0.072,0.253,0.09,0.11,0.096,0.084,-0.015,-0.016,0.053,-0.057,-0.004,-0.194,0.039,
1961,40,40,40,40,40,40,40,40,40,40,40,40,,
1962,0.181,0.254,-0.023,0.043,-0.101,-0.15,-0.047,-0.067,-0.028,0.125,0.079,0.057,0.027,
1962,40,40,40,40,40,40,40,40,40,40,40,40,,
1963,-0.08,0.389,-0.315,-0.225,-0.176,-0.128,0.058,0.044,0.146,0.398,0.283,-0.112,0.024,
1963,41,41,41,41,41,41,41,40,41,40,40,40,,
1964,-0.036,-0.256,-0.487,-0.341,-0.179,-0.247,-0.202,-0.27,-0.28,-0.378,-0.291,-0.424,-0.283,
1964,41,41,41,41,41,41,41,40,40,41,41,41,,
1965,-0.064,-0.448,-0.288,-0.466,-0.249,-0.128,-0.297,-0.227,-0.2,-0.055,-0.227,-0.147,-0.233,
1965,41,41,41,41,41,41,41,41,41,41,41,41,,
1966,-0.213,-0.135,-0.132,-0.272,-0.189,0.06,-0.011,0.012,-0.02,-0.171,-0.154,-0.356,-0.132,
1966,41,41,41,41,41,41,41,41,41,41,41,41,,
1967,-0.298,-0.445,-0.096,-0.075,0.122,-0.215,-0.111,-0.076,-0.119,0.346,0.019,-0.132,-0.09,
1967,41,41,41,41,41,41,41,41,41,41,41,41,,
1968,-0.353,-0.272,0.342,-0.207,-0.311,-0.296,-0.207,-0.193,-0.197,-0.121,-0.259,-0.412,-0.207,
1968,41,41,41,41,41,41,41,41,41,41,41,41,,
1969,-0.624,-0.731,-0.293,-0.006,-0.005,-0.082,0.033,-0.019,-0.066,-0.038,0.186,0.273,-0.114,
1969,41,41,41,41,41,41,41,41,41,41,41,41,,
1970,-0.041,0.303,-0.258,0.015,-0.102,0.088,-0.017,-0.065,0.01,-0.172,-0.09,-0.316,-0.054,
1970,41,41,41,41,41,41,41,41,41,41,41,41,,
1971,-0.084,-0.422,-0.473,-0.373,-0.294,-0.302,-0.173,-0.115,-0.007,-0.089,-0.021,-0.073,-0.202,
1971,41,41,41,41,41,41,41,41,41,41,41,41,,
1972,-0.768,-0.645,-0.267,-0.17,-0.197,-0.046,-0.064,-0.078,-0.223,-0.088,-0.25,0.101,-0.225,
1972,41,41,41,41,40,41,40,40,40,41,40,41,,
1973,0.165,0.544,0.384,0.274,0.151,0.254,0.098,0.038,-0.034,-0.007,-0.136,-0.08,0.138,
1973,41,41,41,41,41,40,41,41,41,40,41,40,,
1974,-0.454,-0.615,-0.19,-0.147,-0.241,-0.191,-0.084,-0.12,-0.234,-0.363,-0.337,-0.358,-0.278,
1974,40,40,40,40,40,40,40,40,40,40,40,40,,
1975,0.126,-0.014,0.027,0.04,0.002,-0.02,-0.035,-0.144,0.048,-0.197,-0.304,-0.306,-0.065,
1975,41,41,41,41,40,41,40,40,40,40,40,40,,
1976,-0.093,-0.364,-0.739,-0.174,-0.32,-0.3,-0.309,-0.298,-0.221,-0.688,-0.447,-0.3,-0.354,
1976,40,40,40,40,40,40,40,40,40,40,40,40,,
1977,-0.418,0.093,0.25,0.258,0.113,0.208,0.076,-0.005,0.014,-0.056,0.399,0.05,0.082,
1977,40,40,40,40,40,40,40,40,40,40,40,40,,
1978,0.044,-0.054,0.123,0.015,-0.053,-0.156,-0.071,-0.258,-0.075,-0.065,0.139,-0.155,-0.047,
1978,40,40,40,40,40,40,40,39,40,40,40,40,,
1979,-0.111,-0.31,-0.002,-0.251,-0.081,0.109,0.018,0.05,0.082,0.203,0.125,0.633,0.039,
1979,40,40,40,40,40,40,40,40,40,40,40,40,,
1980,0.095,0.243,-0.116,0.17,0.265,0.124,0.059,0.078,0.093,0.124,0.252,0.108,0.125,
1980,40,40,40,40,40,40,40,40,40,40,40,40,,
1981,0.739,0.599,0.502,0.412,0.107,0.145,0.096,0.24,0.099,0.041,0.148,0.474,0.3,
1981,40,40,40,40,40,40,40,40,40,40,40,39,,
1982,-0.205,0.097,-0.243,0.041,-0.012,-0.139,0.026,-0.002,0.072,-0.142,-0.14,0.406,-0.02,
1982,39,39,39,39,39,39,39,40,40,40,39,39,,
1983,0.707,0.477,0.353,0.15,0.154,0.114,0.264,0.32,0.396,0.192,0.548,0.126,0.317,
1983,39,39,40,40,39,40,40,39,39,40,39,39,,
1984,0.139,-0.111,0.038,-0.128,0.221,0.036,-0.011,0.034,-0.142,0.079,-0.188,-0.534,-0.047,
1984,39,39,39,39,39,40,40,39,39,39,39,39,,
1985,-0.005,-0.297,-0.097,-0.019,0.057,-0.058,-0.156,0.1,-0.047,0.033,-0.046,0.03,-0.042,
1985,40,40,40,40,40,40,39,40,40,39,40,39,,
1986,0.425,0.192,0.195,0.261,0.185,0.141,-0.05,0.015,-0.077,-0.003,-0.043,0.035,0.106,
1986,39,39,39,39,39,39,39,39,39,39,39,39,,
1987,0.183,0.686,-0.114,0.192,0.188,0.213,0.368,0.208,0.317,0.26,0.141,0.53,0.264,
1987,39,39,39,39,39,39,39,39,39,39,39,39,,
1988,0.638,0.274,0.378,0.305,0.367,0.429,0.342,0.321,0.376,0.338,0.094,0.474,0.361,
1988,39,39,39,39,39,39,39,39,39,39,39,39,,
1989,0.131,0.422,0.388,0.219,0.183,0.151,0.2,0.22,0.219,0.293,0.066,0.316,0.234,
1989,39,39,39,39,39,39,39,39,39,39,39,39,,
1990,0.387,0.543,1.162,0.59,0.398,0.44,0.282,0.361,0.221,0.486,0.596,0.411,0.49,
1990,39,39,39,39,39,39,39,39,39,39,38,38,,
1991,0.517,0.52,0.27,0.558,0.316,0.564,0.419,0.344,0.369,0.331,0.249,0.103,0.38,
1991,38,37,37,37,37,37,37,37,37,37,37,37,,
1992,0.702,0.534,0.418,0.08,0.124,0.049,-0.244,-0.093,-0.224,-0.196,-0.216,0.192,0.094,
1992,38,37,37,37,38,37,37,37,37,37,37,37,,
1993,0.441,0.452,0.347,0.174,0.222,0.22,0.155,0.107,-0.085,0.131,-0.321,0.277,0.177,
1993,37,37,37,38,37,37,37,37,37,37,37,37,,
1994,0.345,-0.151,0.312,0.434,0.369,0.412,0.252,0.268,0.316,0.467,0.538,0.406,0.331,
1994,37,37,37,37,37,37,37,37,38,38,37,37,,
1995,0.832,1.211,0.477,0.49,0.358,0.53,0.41,0.592,0.488,0.688,0.564,0.203,0.57,
1995,38,37,38,38,38,38,37,38,37,37,37,37,,
1996,0.203,0.437,0.13,-0.016,0.319,0.263,0.281,0.233,0.112,0.169,0.215,0.386,0.228,
1996,37,37,37,37,37,37,37,37,37,37,37,37,,
1997,0.413,0.58,0.535,0.342,0.33,0.521,0.387,0.476,0.527,0.633,0.542,0.591,0.49,
1997,37,37,37,37,37,37,37,37,37,37,37,37,,
1998,0.72,1.344,0.755,1.018,0.844,0.901,0.982,0.906,0.735,0.713,0.328,0.848,0.841,
1998,37,37,38,37,37,38,38,38,38,38,38,37,,
1999,0.773,1.169,0.226,0.507,0.386,0.457,0.474,0.434,0.582,0.535,0.401,0.732,0.556,
1999,37,37,37,37,37,37,37,37,37,37,37,37,,
2000,0.314,0.911,0.729,0.921,0.514,0.433,0.404,0.502,0.385,0.274,0.071,0.227,0.474,
2000,37,37,37,37,37,37,37,37,37,37,37,37,,
2001,0.659,0.509,0.767,0.678,0.703,0.532,0.625,0.769,0.571,0.629,1.012,0.566,0.668,
2001,36,36,36,36,35,36,35,36,35,36,35,35,,
2002,1.143,1.344,1.167,0.686,0.581,0.64,0.784,0.616,0.666,0.477,0.722,0.32,0.762,
2002,35,35,36,36,36,36,36,35,36,36,36,36,,
2003,0.994,0.626,0.565,0.621,0.805,0.678,0.623,0.789,0.749,0.917,0.677,1.057,0.758,
2003,36,36,36,36,36,36,36,35,36,37,36,36,,
2004,0.763,1.064,0.933,0.694,0.346,0.485,0.381,0.451,0.533,0.732,1.065,0.473,0.66,
2004,36,36,36,36,36,35,36,35,36,35,35,36,,
2005,0.923,0.556,0.877,0.99,0.723,0.851,0.804,0.695,0.948,1.068,1.176,0.742,0.863,
2005,36,35,36,35,36,35,35,35,36,35,36,35,,
2006,0.603,0.955,0.762,0.58,0.527,0.847,0.756,0.736,0.757,0.995,0.894,1.252,0.805,
2006,35,36,36,36,36,36,36,36,35,35,36,35,,
2007,1.623,0.953,0.972,1.084,0.8,0.606,0.614,0.775,0.801,0.933,0.786,0.794,0.895,
2007,36,35,35,35,36,36,36,36,36,36,35,36,,
2008,0.338,0.428,1.21,0.557,0.485,0.591,0.7,0.56,0.596,0.987,1.037,0.696,0.682,
2008,36,36,35,36,36,36,35,36,36,36,36,36,,
2009,0.778,0.828,0.637,0.835,0.573,0.642,0.577,0.832,0.994,0.727,0.823,0.528,0.731,
2009,35,36,36,35,35,35,36,36,35,35,35,35,,
2010,0.794,0.89,1.108,1.067,0.943,0.983,0.968,0.877,0.787,0.897,1.205,0.446,0.914,
2010,35,35,35,35,35,35,35,36,36,36,36,36,,
2011,0.44,0.4,0.583,0.875,0.563,0.797,0.782,0.756,0.823,0.951,0.663,0.856,0.707,
2011,34,35,35,34,35,35,34,35,35,34,34,34,,
2012,0.559,0.361,0.599,1.06,0.966,0.95,0.81,0.847,0.901,0.878,0.915,0.281,0.761,
2012,35,35,34,35,35,35,35,35,35,34,35,35,,
2013,0.92,0.939,0.689,0.636,0.809,0.893,0.687,0.735,0.786,0.872,1.087,0.863,0.826,
2013,34,34,35,34,34,35,34,34,35,34,35,35,,
2014,0.944,0.481,0.962,1.04,0.919,0.891,0.713,0.835,0.819,0.973,0.72,1.096,0.866,
2014,34,34,34,34,34,34,34,34,34,34,34,33,,
2015,1.231,1.197,1.259,0.903,1.018,1.095,0.832,0.958,1.049,1.209,1.287,1.771,1.151,
2015,34,34,33,33,34,34,34,34,33,34,34,34,,
2016,1.416,2.103,1.956,1.592,1.109,1.105,1.057,1.221,1.174,0.849,0.826,1.1,1.292,
2016,34,34,34,34,33,33,33,33,33,33,34,33,,
2017,1.312,1.539,1.484,1.063,0.936,0.973,1.051,1.054,1.02,0.973,0.88,1.149,1.12,
2017,32,32,32,32,32,32,32,32,32,32,32,32,,
2018,0.973,0.939,1.09,0,0,0,0,0,0,0,0,0,1.001,
2018,32,31,32,0,0,0,0,0,0,0,0,0,,